method,gamma,lambda1,lambda2,lambda_e,lambda_e1,lambda_e21,lambda_z,val_ari,val_f1,score
SSC-TV-L21-P,0.1,,,0.05,,,0.05,0.8565880831048011,0.2625,0.9222130831048011
SSC-TV-L21-P,0.5,,,0.05,,,0.05,0.9971279659000847,0.125,1.0283779659000847
SSC-TV-L21-P,0.01,,,0.05,,,0.1,0.11729444465241742,0.3625,0.2079194446524174
SSC-TV-L21-P,0.1,,,0.05,,,0.1,0.6812898932614693,0.4,0.7812898932614692
SSC-TV-L21-P,0.5,,,0.05,,,0.1,0.999280197020526,0.6,1.149280197020526
SSC-TV-L21-P,0.01,,,0.05,,,0.5,0.04006564166547905,0.47500000000000003,0.15881564166547907
SSC-TV-L21-P,0.1,,,0.05,,,0.5,0.6048575696716985,0.4875,0.7267325696716984
SSC-TV-L21-P,0.5,,,0.05,,,0.5,0.9397543489599116,0.925,1.1710043489599116
SSC-TV-L21-P,0.01,,,0.2,,,0.05,0.2064525408785762,0.06250000000000001,0.2220775408785762
SSC-TV-L21-P,0.1,,,0.2,,,0.05,0.8298216452427783,0.06250000000000001,0.8454466452427783
SSC-TV-L21-P,0.5,,,0.2,,,0.05,0.9971279659000847,0.06250000000000001,1.0127529659000847
SSC-TV-L21-P,0.01,,,0.2,,,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-L21-P,0.1,,,0.2,,,0.1,0.5366520702223322,0.06250000000000001,0.5522770702223322
SSC-TV-L21-P,0.5,,,0.2,,,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-L21-P,0.01,,,0.2,,,0.5,0.0012163438399977193,0.22499999999999998,0.05746634383999771
SSC-TV-L21-P,0.1,,,0.2,,,0.5,0.170207605110158,0.3875,0.267082605110158
SSC-TV-L21-P,0.5,,,0.2,,,0.5,0.83733285993763,0.4375,0.94670785993763
SSC-TV-L21-P,0.01,,,1.0,,,0.05,0.2064525408785762,0.06250000000000001,0.2220775408785762
SSC-TV-L21-P,0.1,,,1.0,,,0.05,0.8298216452427783,0.06250000000000001,0.8454466452427783
SSC-TV-L21-P,0.5,,,1.0,,,0.05,0.9971279659000847,0.06250000000000001,1.0127529659000847
SSC-TV-L21-P,0.01,,,1.0,,,0.1,0.12236421072628519,0.06250000000000001,0.1379892107262852
SSC-TV-L21-P,0.1,,,1.0,,,0.1,0.5366845176168699,0.06250000000000001,0.5523095176168699
SSC-TV-L21-P,0.5,,,1.0,,,0.1,0.9955694979378054,0.06250000000000001,1.0111944979378054
SSC-TV-L21-P,0.01,,,1.0,,,0.5,0.0005371069105352673,0.06250000000000001,0.01616210691053527
SSC-TV-L21-P,0.1,,,1.0,,,0.5,0.15776608573830064,0.06250000000000001,0.17339108573830064
SSC-TV-L21-P,0.5,,,1.0,,,0.5,0.553328488962739,0.06250000000000001,0.568953488962739
SSC-TV-L21-PQ,0.01,,,0.05,,,0.05,0.11312597535682929,0.06250000000000001,0.1287509753568293
SSC-TV-L21-PQ,0.1,,,0.05,,,0.05,0.2494306609520468,0.06250000000000001,0.2650556609520468
SSC-TV-L21-PQ,0.5,,,0.05,,,0.05,0.8047854056027017,0.10000000000000002,0.8297854056027018
SSC-TV-L21-PQ,0.01,,,0.05,,,0.1,0.03631942393277324,0.35000000000000003,0.12381942393277325
SSC-TV-L21-PQ,0.1,,,0.05,,,0.1,0.16941174965813915,0.35,0.2569117496581391
SSC-TV-L21-PQ,0.5,,,0.05,,,0.1,0.638662809287052,0.3375,0.723037809287052
SSC-TV-L21-PQ,0.01,,,0.05,,,0.5,0.003966962290714628,0.4,0.10396696229071463
SSC-TV-L21-PQ,0.1,,,0.05,,,0.5,0.09195906622609043,0.4875,0.2138340662260904
SSC-TV-L21-PQ,0.5,,,0.05,,,0.5,0.5672731736302861,0.5125,0.6953981736302861
SSC-TV-L21-PQ,0.01,,,0.2,,,0.05,0.11237634857210134,0.06250000000000001,0.12800134857210135
SSC-TV-L21-PQ,0.1,,,0.2,,,0.05,0.24974799594869812,0.06250000000000001,0.2653729959486981
SSC-TV-L21-PQ,0.5,,,0.2,,,0.05,0.7875519680970755,0.06250000000000001,0.8031769680970755
SSC-TV-L21-PQ,0.01,,,0.2,,,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-L21-PQ,0.1,,,0.2,,,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-L21-PQ,0.5,,,0.2,,,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-L21-PQ,0.01,,,0.2,,,0.5,0.002330447864351481,0.1375,0.03670544786435148
SSC-TV-L21-PQ,0.1,,,0.2,,,0.5,0.005792479183241786,0.275,0.07454247918324179
SSC-TV-L21-PQ,0.5,,,0.2,,,0.5,0.1698088784199604,0.375,0.2635588784199604
SSC-TV-L21-PQ,0.01,,,1.0,,,0.05,0.11237634857210134,0.06250000000000001,0.12800134857210135
SSC-TV-L21-PQ,0.1,,,1.0,,,0.05,0.24974799594869812,0.06250000000000001,0.2653729959486981
SSC-TV-L21-PQ,0.5,,,1.0,,,0.05,0.7875519680970755,0.06250000000000001,0.8031769680970755
SSC-TV-L21-PQ,0.01,,,1.0,,,0.1,0.03600348069338629,0.06250000000000001,0.0516284806933863
SSC-TV-L21-PQ,0.1,,,1.0,,,0.1,0.16465224469702733,0.06250000000000001,0.18027724469702733
SSC-TV-L21-PQ,0.5,,,1.0,,,0.1,0.5297809739807574,0.06250000000000001,0.5454059739807574
SSC-TV-L21-PQ,0.01,,,1.0,,,0.5,0.0015538981766355202,0.06250000000000001,0.017178898176635524
SSC-TV-L21-PQ,0.1,,,1.0,,,0.5,0.007226501786850088,0.06250000000000001,0.022851501786850092
SSC-TV-L21-PQ,0.5,,,1.0,,,0.5,0.16421219608160934,0.06250000000000001,0.17983719608160934
SSC-TV-E1E21,0.01,,,,0.05,0.05,0.1,0.19589523090850314,0.11250000000000002,0.22402023090850315
SSC-TV-E1E21,0.1,,,,0.05,0.05,0.1,0.9485896465309279,0.425,1.054839646530928
